,URL,amount,nutrient,recipe
9,https://www.allrecipes.com/recipe/80388/lemon-rosemary-salmon/,102IU,Vitamin A,Lemon Rosemary Salmon
10,https://www.allrecipes.com/recipe/80388/lemon-rosemary-salmon/,45mg,Vitamin C,Lemon Rosemary Salmon
11,https://www.allrecipes.com/recipe/80388/lemon-rosemary-salmon/,51mg,Calcium,Lemon Rosemary Salmon
12,https://www.allrecipes.com/recipe/80388/lemon-rosemary-salmon/,1mg,Iron,Lemon Rosemary Salmon
13,https://www.allrecipes.com/recipe/80388/lemon-rosemary-salmon/,0mg,Thiamin,Lemon Rosemary Salmon
14,https://www.allrecipes.com/recipe/80388/lemon-rosemary-salmon/,11mg,Niacin,Lemon Rosemary Salmon
15,https://www.allrecipes.com/recipe/80388/lemon-rosemary-salmon/,1mg,Vitamin B6,Lemon Rosemary Salmon
16,https://www.allrecipes.com/recipe/80388/lemon-rosemary-salmon/,35mg,Magnesium,Lemon Rosemary Salmon
17,https://www.allrecipes.com/recipe/80388/lemon-rosemary-salmon/,36mcg,Folate,Lemon Rosemary Salmon
0,https://www.allrecipes.com/recipe/23600/worlds-best-lasagna/,21.3g,Total Fat,World's Best Lasagna
1,https://www.allrecipes.com/recipe/23600/worlds-best-lasagna/,10.0g,Saturated Fat,World's Best Lasagna
2,https://www.allrecipes.com/recipe/23600/worlds-best-lasagna/,82mg,Cholesterol,World's Best Lasagna
3,https://www.allrecipes.com/recipe/23600/worlds-best-lasagna/,1788mg,Sodium,World's Best Lasagna
4,https://www.allrecipes.com/recipe/23600/worlds-best-lasagna/,876mg,Potassium,World's Best Lasagna
5,https://www.allrecipes.com/recipe/23600/worlds-best-lasagna/,36.5g,Total Carbohydrates,World's Best Lasagna
6,https://www.allrecipes.com/recipe/23600/worlds-best-lasagna/,4g,Dietary Fiber,World's Best Lasagna
7,https://www.allrecipes.com/recipe/23600/worlds-best-lasagna/,29.7g,Protein,World's Best Lasagna
8,https://www.allrecipes.com/recipe/23600/worlds-best-lasagna/,9g,Sugars,World's Best Lasagna
9,https://www.allrecipes.com/recipe/23600/worlds-best-lasagna/,1454IU,Vitamin A,World's Best Lasagna
10,https://www.allrecipes.com/recipe/23600/worlds-best-lasagna/,17mg,Vitamin C,World's Best Lasagna
11,https://www.allrecipes.com/recipe/23600/worlds-best-lasagna/,442mg,Calcium,World's Best Lasagna
